iter	Passed	Remaining
2070	3563	3575
2071	3565	3574
2072	3567	3572
2073	3568	3570
2074	3570	3568
2075	3572	3567
2076	3573	3565
2077	3575	3563
2078	3577	3561
2079	3578	3560
2080	3580	3558
2081	3582	3556
2082	3583	3554
2083	3585	3552
2084	3587	3551
2085	3589	3549
2086	3591	3548
2087	3593	3546
2088	3595	3545
2089	3597	3543
2090	3599	3542
2091	3600	3540
2092	3602	3539
2093	3604	3537
2094	3606	3535
2095	3608	3534
2096	3610	3532
2097	3611	3530
2098	3613	3529
2099	3615	3527
2100	3616	3525
2101	3618	3524
2102	3620	3522
2103	3622	3520
2104	3624	3519
2105	3625	3517
2106	3627	3515
2107	3629	3513
2108	3630	3512
2109	3632	3510
2110	3634	3508
2111	3636	3506
2112	3637	3504
2113	3639	3503
2114	3640	3501
2115	3642	3499
2116	3644	3498
2117	3645	3496
2118	3647	3494
2119	3649	3492
2120	3651	3491
2121	3652	3489
2122	3654	3487
2123	3656	3485
2124	3658	3484
2125	3660	3482
2126	3661	3480
2127	3663	3479
2128	3665	3477
2129	3666	3475
2130	3668	3474
2131	3670	3472
2132	3672	3470
2133	3673	3468
2134	3675	3467
2135	3677	3465
2136	3678	3463
2137	3680	3461
2138	3682	3460
2139	3684	3458
2140	3685	3456
2141	3687	3455
2142	3689	3453
2143	3690	3451
2144	3692	3449
2145	3694	3447
2146	3696	3446
2147	3697	3444
2148	3699	3442
2149	3701	3441
2150	3702	3439
2151	3704	3437
2152	3705	3435
2153	3707	3433
2154	3709	3432
2155	3710	3430
2156	3712	3428
2157	3714	3426
2158	3716	3425
2159	3717	3423
2160	3719	3421
2161	3721	3420
2162	3723	3418
2163	3724	3416
2164	3726	3414
2165	3728	3413
2166	3729	3411
2167	3731	3409
2168	3733	3408
2169	3734	3406
2170	3736	3404
2171	3738	3402
2172	3740	3400
2173	3741	3399
2174	3743	3397
2175	3745	3395
2176	3746	3393
2177	3748	3392
2178	3750	3390
2179	3751	3388
2180	3753	3386
2181	3755	3385
2182	3757	3383
2183	3758	3381
2184	3760	3380
2185	3762	3378
2186	3764	3376
2187	3765	3375
2188	3767	3373
2189	3769	3371
2190	3771	3370
2191	3773	3368
2192	3774	3366
2193	3776	3365
2194	3778	3363
2195	3779	3361
2196	3781	3360
2197	3783	3358
2198	3785	3356
2199	3786	3354
2200	3788	3352
2201	3790	3351
2202	3791	3349
2203	3793	3347
2204	3795	3345
2205	3796	3344
2206	3798	3342
2207	3800	3340
2208	3801	3338
2209	3803	3337
2210	3805	3335
2211	3806	3333
2212	3808	3331
2213	3810	3330
2214	3811	3328
2215	3813	3326
2216	3815	3324
2217	3816	3323
2218	3818	3321
2219	3820	3319
2220	3822	3318
2221	3824	3316
2222	3825	3314
2223	3827	3312
2224	3829	3311
2225	3830	3309
2226	3832	3307
2227	3834	3306
2228	3835	3304
2229	3837	3302
2230	3839	3300
2231	3840	3298
2232	3842	3297
